Project ID,CARB Issuance ID,OPR Project ID,Project Type,Early Action/ Compliance,Reporting Period Start Date,Reporting Period End Date,Vintage,ARB Offset Credits Issued,Forest Buffer Account Contribution,Issuance Date,Invalidation Timeframe,Date Invalidation Period Reduced,Start of Invalidation Timeframe,Project Name,Project Operator,Verification Body,State,Provides DEBS,"Section 95989(b) Documentation, if applicable",Project Documentation,Retired Buffer Pool,Retired Voluntarily,Retired 1st Compliance Period (CA),Retired 2nd Compliance Period (CA),Retired 3rd Compliance Period (CA),Retired 4th Compliance Period (CA),Retired for Compliance (Quebec),Retired Intentional Reversal,Comments,Vintage remaining,Issuance total from registry,Issuance Year,Registry,ARB Source Data,Updated 11-1-23,Total ARB Credits Issued:,"220,439,110",Total ARB Credits Retired:,"163,158,520"
ACR182,CAFR5012-C,ACR182,Forest,COP,8/26/14,8/25/15,2015,"10,051"," 	1,930 ",10/25/16,3 years,1/26/21,8/25/15,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182, 	-   ,0,0,0,0,0,0,0,n/a," 	10,051 "," 	8,121 ",2016,ACR,,,,,,
ACR182,CAFR5012-D,ACR182,Forest,COP,8/26/16,8/25/17,2017,"12,303"," 	2,362 ",1/26/21,8 years,n/a,8/25/17,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182, 	-   ,0,0,0,0,0,0,"9,423","In April 2021, 9,423 credits surrendered by the offset project operator to meet the obligation for the CAFR5012 reversal were retired."," 	2,880 "," 	9,483 ",2021,ACR,,,,,,
ACR182,CAFR5012-E,ACR182,Forest,COP,8/26/17,8/25/18,2018,"10,953"," 	2,103 ",1/26/21,8 years,n/a,8/25/18,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182, 	-   ,0,0,0,0,0,0,"8,850","In April 2021, 8,850 credits surrendered by the offset project operator to meet the obligation for the CAFR5012 reversal were retired."," 	2,103 "," 	8,885 ",2021,ACR,,,,,,
ACR182,CAFR5012-F,ACR182,Forest,COP,8/26/18,8/25/19,2019,"10,986"," 	2,109 ",1/26/21,8 years,n/a,8/25/19,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182, 	-   ,0,0,0,0,0,0,"8,877","In April 2021, 8,877 credits surrendered by the offset project operator to meet the obligation for the CAFR5012 reversal were retired."," 	2,109 "," 	8,912 ",2021,ACR,,,,,,
ACR183,CAOD0061-A,ACR183,ODS,EA,4/4/13,4/8/13,2013,"38,517",n/a,1/21/14,3 years,2/24/15,1/21/14,DPC Domestic ODS Destruction Project #12,"Diversified Pure Chem, LLC","SES, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=183,n/a,0,"38,514",3,0,0,0,0,n/a, 	-   ," 	38,517 ",2014,ACR,,,,,,
ACR184,CAOD0072-A,ACR184,ODS,EA,7/17/13,7/25/13,2013,"126,977",n/a,11/25/14,8 years,n/a,11/25/14,EOS ACR 2013,"EOS Climate, Inc.","First Environment of California, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=184,n/a,0,"110,298","14,888",0,0,0,0,n/a," 	1,791 "," 	126,977 ",2014,ACR,,,,,,
ACR184,CAOD0072-B,ACR184,ODS,EA,8/9/13,8/15/13,2013,"122,048",n/a,11/25/14,3 years,6/9/15,11/25/14,EOS ACR 2013,"EOS Climate, Inc.","First Environment of California, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=184,n/a,0,"20,628","101,420",0,0,0,0,n/a, 	-   ," 	126,977 ",2014,ACR,,,,,,
ACR189,CAFR5016-A,ACR189,Forest,COP,4/19/12,6/30/13,2013,"271,144"," 	52,060 ",6/24/14,8 years,n/a,6/30/13,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189," 	52,060 ",0,"219,084",0,0,0,0,0,"On 4/13/2021, CARB retired 40,030 of 52,060 credits from the buffer pool for the CAFR5224-A-B reversal; on 1/25/2022, CARB retired the remaining 12,030 credits from the buffer pool for the CAFR5231-A unintentional reversal."," 	52,060 "," 	219,084 ",2014,ACR,,,,,,
ACR189,CAFR5016-B,ACR189,Forest,COP,7/1/13,6/30/14,2014,"7,185"," 	1,380 ",4/26/16,8 years,n/a,6/30/14,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,"5,805",0,0,0,0,n/a," 	1,380 "," 	5,805 ",2016,ACR,,,,,,
ACR189,CAFR5016-C,ACR189,Forest,COP,7/1/14,6/30/15,2015,"7,316"," 	1,405 ",4/26/16,8 years,n/a,6/30/15,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,"5,911",0,0,0,0,n/a," 	1,405 "," 	5,911 ",2016,ACR,,,,,,
ACR189,CAFR5016-D,ACR189,Forest,COP,7/1/15,6/30/16,2016,"7,574"," 	1,454 ",10/24/17,3 years,8/25/20,6/30/16,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,0,"6,120",0,0,0,n/a," 	1,454 "," 	6,120 ",2017,ACR,,,,,,
ACR189,CAFR5016-E,ACR189,Forest,COP,7/1/16,6/30/17,2017,"7,774"," 	1,493 ",10/24/17,3 years,8/25/20,6/30/17,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,551,"5,730",0,0,0,n/a," 	1,493 "," 	6,281 ",2017,ACR,,,,,,
ACR189,CAFR5016-F,ACR189,Forest,COP,7/1/17,6/30/18,2018,"7,065"," 	1,359 ",8/25/20,8 years,n/a,6/30/18,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,0,0,0,"5,706",0,n/a," 	1,359 "," 	5,706 ",2020,ACR,,,,,,
ACR189,CAFR5016-G,ACR189,Forest,COP,7/1/18,6/30/19,2019,"6,354"," 	1,223 ",8/25/20,8 years,n/a,6/30/19,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,0,0,0,0,0,n/a," 	6,354 "," 	5,131 ",2020,ACR,,,,,,
ACR189,CAFR5016-H,ACR189,Forest,COP,7/1/19,6/30/20,2020,"7,497"," 	1,442 ",12/7/21,8 years,n/a,6/30/20,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,0,0,0,0,0,n/a," 	7,497 "," 	6,055 ",2021,ACR,,,,,,
ACR189,CAFR5016-I,ACR189,Forest,COP,7/1/20,6/30/21,2021,"7,643"," 	1,470 ",12/7/21,8 years,n/a,6/30/21,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189, 	-   ,0,0,0,0,0,0,0,n/a," 	7,643 "," 	6,173 ",2021,ACR,,,,,,
ACR190,CALS5023-A,ACR190,Livestock,COP,10/30/11,10/29/13,2013,"19,179",n/a,5/26/15,3 years,11/21/17,10/29/13,Big Sky Dairy,"DF-AP#1, LLC","First Environment of California, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,"19,179",0,0,0,0,n/a, 	-   ," 	19,179 ",2015,ACR,,,,,,
ACR190,CALS5023-B,ACR190,Livestock,COP,10/30/13,10/29/14,2014,"24,558",n/a,1/26/16,3 years,11/21/17,10/29/14,Big Sky Dairy,"DF-AP#1, LLC","First Environment of California, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,"24,558",0,0,0,0,n/a, 	-   ," 	24,558 ",2016,ACR,,,,,,
ACR190,CALS5023-C,ACR190,Livestock,COP,10/30/14,10/29/15,2015,"23,610",n/a,11/21/17,3 years,3/13/18,10/29/15,Big Sky Dairy,"DF-AP#1, LLC","SES, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,"9,696",0,0,0,0,n/a," 	13,914 "," 	23,610 ",2017,ACR,,,,,,
ACR190,CALS5023-D,ACR190,Livestock,COP,10/30/15,10/29/16,2016,"22,071",n/a,3/13/18,3 years,8/21/18,10/29/16,Big Sky Dairy,"DF-AP#1, LLC","Ruby Canyon Engineering, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,0,"22,071",0,0,0,n/a, 	-   ," 	22,071 ",2018,ACR,,,,,,
ACR190,CALS5023-E,ACR190,Livestock,COP,10/30/16,10/29/17,2017,"24,835",n/a,8/21/18,3 years,11/13/20,10/29/17,Big Sky Dairy,"DF-AP#1, LLC","SES, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,0,0,0,"24,835",0,n/a, 	-   ," 	24,835 ",2018,ACR,,,,,,
ACR190,CALS5023-F,ACR190,Livestock,COP,10/30/17,10/29/18,2018,"24,535",n/a,10/13/20,3 years,2/23/21,10/29/18,Big Sky Dairy,"DF-AP#1, LLC",Dillon Consulting Limited,ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,0,0,0,0,0,n/a," 	24,535 "," 	24,535 ",2020,ACR,,,,,,
ACR190,CALS5023-G,ACR190,Livestock,COP,10/30/18,10/29/19,2019,"25,682",n/a,10/13/20,3 years,2/23/21,10/29/19,Big Sky Dairy,"DF-AP#1, LLC",Dillon Consulting Limited,ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,0,0,0,0,0,n/a," 	25,682 "," 	25,682 ",2020,ACR,,,,,,
ACR190,CALS5023-H,ACR190,Livestock,COP,10/30/19,10/29/20,2020,"29,681",n/a,2/23/21,8 years,n/a,10/29/20,Big Sky Dairy,"DF-AP#1, LLC","Agri-Waste Technology, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,n/a,0,0,0,"29,681",0,0,0,n/a, 	-   ," 	29,681 ",2021,ACR,,,,,,
