Date,Open,High,Low,Close,Volume,Project Name,Credits Issued
2020-09-04,21.780000686645508,21.780000686645508,21.0,15.980721473693848,6200,IESI-Trinity Timber Ridge Landfill Carbon Project,12756.0
2020-09-08,20.920000076293945,21.1200008392334,20.229999542236328,15.650673866271973,11700,Greenville County Landfill Gas Utilization Project,28331.0
2020-09-08,20.920000076293945,21.1200008392334,20.229999542236328,15.650673866271973,11700,Greenville County Landfill Gas Utilization Project,18200.0
2020-09-09,21.0,21.09000015258789,20.700000762939453,15.687009811401367,18400,Grid Connected Wind Power Project In Maharashtra India By Bhilwara,769.0
2020-09-11,21.44499969482422,21.44499969482422,21.44499969482422,16.23355484008789,200,Finite Carbon - Spokane Tribe of Indians IFM,64158.0
2020-09-14,22.09000015258789,22.899999618530277,21.8799991607666,17.221418380737305,7500,Zhongshan County Micro Hydro Project Bundle No.1,158.0
2020-09-14,22.09000015258789,22.899999618530277,21.8799991607666,17.221418380737305,7500,Zhongshan County Micro Hydro Project Bundle No.2,878.0
2020-09-15,22.780000686645508,22.81999969482422,22.11000061035156,16.782367706298828,7300,Lakeshore Dairy,14632.0
2020-09-15,22.780000686645508,22.81999969482422,22.11000061035156,16.782367706298828,7300,Finite Carbon - Lyme Wisconsin IFM,998971.0
2020-09-15,22.780000686645508,22.81999969482422,22.11000061035156,16.782367706298828,7300,Zhongshan County Micro Hydro Project Bundle No.3,990.0
2020-09-15,22.780000686645508,22.81999969482422,22.11000061035156,16.782367706298828,7300,Zhongshan County Micro Hydro Project Bundle No.5,900.0
2020-09-15,22.780000686645508,22.81999969482422,22.11000061035156,16.782367706298828,7300,Zhongshan County Micro Hydro Project Bundle No.6,899.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,Rips Redwoods,15295.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,Rips Redwoods,8113.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,Rips Redwoods,8749.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,Rips Redwoods,8749.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,Rips Redwoods,8749.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,Adirondack Farms,23301.0
2020-09-16,22.5,22.5,22.378999710083008,17.029903411865234,300,GS5658 VPA 8: The Community Safe Water (Madagascar),157.0
2020-09-17,22.030000686645508,22.030000686645508,21.670000076293945,16.40387535095215,3000,Lakeview Farms Dairy,16994.0
2020-09-18,21.739999771118164,21.739999771118164,21.5,16.350887298583984,75700,West Star North Dairy,24654.0
2020-09-18,21.739999771118164,21.739999771118164,21.5,16.350887298583984,75700,CE&S Dairy,19752.0
2020-09-18,21.739999771118164,21.739999771118164,21.5,16.350887298583984,75700,Lubrecht Experimental Forest Carbon Project,774633.0
2020-09-18,21.739999771118164,21.739999771118164,21.5,16.350887298583984,75700,Buncombe County Landfill,3425.0
2020-09-18,21.739999771118164,21.739999771118164,21.5,16.350887298583984,75700,Buncombe County Landfill,17412.0
2020-09-18,21.739999771118164,21.739999771118164,21.5,16.350887298583984,75700,Dissemination of TLUD improved cook stoves in the Sundarbans India 2nd project,849.0
2020-09-21,20.88999938964844,20.940000534057617,20.375999450683597,15.58178997039795,46400,Rochelle Municipal Landfill,15435.0
2020-09-21,20.88999938964844,20.940000534057617,20.375999450683597,15.58178997039795,46400,Rochelle Municipal Landfill,20808.0
2020-09-22,20.61000061035156,21.43000030517578,20.549999237060547,16.142715454101562,45800,Lambs Dairy Digester,1685.0
2020-09-30,20.75,20.989999771118164,20.75,15.737728118896484,6100,Van Steyn Dairy Digester,2842.0
